단어/문장,한글해석,한글발음
million,백만,[million]
food,음식,[food]
every,모든,[every]
last,마지막의,[last]
name,이름,[name]
point,"점, 요점",[포인트]
water,물,[water]
school,학교,[school]
young,젊은,[young]
bring,가져오다,[bring]
story,이야기,[스토리]
home,집,[home]
speak,말하다,[speak]
body,몸,[body]
book,책,[book]
away,떨어져,[away]
bad,나쁜,[bad]
week,"주, 일주일",[week]
study,공부하다,[study]
leave,"떠나다, 남기다",[leave]
hour,시간,[hour]
write,쓰다,[write]
large,거대한,[large]
friend,친구,[friend]
run,"달리다, 운영하다",[run]
stop,멈추다,[stop]
turn,"돌다, 회전",[turn]
real,진짜의,[real]
hand,손,[핸드]
remember,기억하다,[remember]
once,한 번,[once]
pay,지불하다,[pay]
course,"과정, 코스",[course]
city,도시,[city]
few,소수의,[few]
understand,이해하다,[understand]
love,사랑하다,[love]
grow,자라다,[grow]
spend,"쓰다, 소비하다",[spend]
head,머리,[head]
game,게임,[game]
case,"경우, 사건",[case]
early,일찍,[early]
sure,확실한,[sure]
read,읽다,[read]
together,함께,[together]
hold,"잡다, 유지하다",[hold]
meet,만나다,[meet]
interest,"흥미, 이자",[interest]
buy,사다,[buy]
car,자동차,[car]
age,나이,[age]
must,해야 한다,[must]
far,멀리,[far]
face,"얼굴, 마주하다",[페이스]
enough,충분한,[enough]
lead,이끌다,[lead]
music,음악,[music]
join,합류하다,[join]
until,할 때까지,[until]
eat,"먹다, 식사하다",[eat]
eye,눈,[eye]
lose,"잃다, 패배하다",[lose]
win,이기다,[win]
hard,"열심히, 단단한",[hard]
side,측면,[사이드]
student,학생,[student]
team,팀,[team]
true,진실한,[true]
under,아래에,[under]
strong,"강한, 튼튼한",[strong]
teach,가르치다,[teach]
listen,듣다,[listen]
set,설정하다,[set]
night,밤,[night]
begin,시작하다,[begin]
walk,"걷다, 산책하다",[walk]
watch,주시하다,[와치]
wear,"입다, 닳다",[wear]
pass,통과하다,[pass]
month,"달, 월",[month]
sit,앉다,[sit]
soon,곧,[soon]
build,"짓다, 건설하다",[build]
hope,"희망하다, 바라다",[hope]
space,"공간, 우주",[스페이스]
easy,쉬운,[easy]
break,"깨다, 휴식",[break]
answer,"대답하다, 답",[answer]
computer,컴퓨터,[computer]
wrong,잘못된,[wrong]
ago,전에,[ago]
house,집,[house]
mother,어머니,[mother]
thank,"감사하다, 고마워하다",[thank]
parent,부모,[parent]
open,열다,[open]
sell,팔다,[sell]
along,을 따라,[along]
father,아버지,[father]
die,죽다,[die]
Yeah,"응, 그래",[Yeah]
heart,"심장, 마음",[heart]
yet,아직,[yet]
animal,동물,[animal]
behind,뒤에,[behind]
stand,서다,[stand]
fall,"떨어지다, 가을",[fall]
plant,"심다 식물, 초목, 공장",[plant]
air,공기,[air]
free,"자유로운, 무료의",[free]
record,"기록, 음반 기록하다",[record]
news,"소식, 뉴스",[news]
stay,머물다,[stay]
carry,"휴대하다, 옮기다",[carry]
war,전쟁,[워]
example,"예, 사례",[이그잼플]
follow,따르다,[follow]
tree,tree,[tree]
short,short,[short]
plan,계획,[plan]
white,흰색,[white]
half,"절반, 반",[half]
kid,아이,[kid]
across,건너서,[across]
close,"가까운, 닫다",[close]
baby,"아기, 유아",[baby]
light,"빛, 가벼운",[라이트]
happy,happy,[happy]
full,가득 찬,[full]
thousand,"천(1,000)",[thousand]
radio,radio,[radio]
low,낮은,[low]
movie,영화,[무비]
send,보내다,[send]
return,"반납하다, 되돌아오다 답례, 귀환, 수익",[return]
base,"기본, 기초",[base]
office,사무실,[office]
market,시장,[market]
wait,기다리다,[wait]
care,"돌봄, 돌보다",[care]
black,검은색,[black]
doctor,"의사, 박사",[doctor]
dog,dog,[dog]
model,"모범, 모형",[model]
fight,싸우다,[fight]
street,거리,[스트리트]
enjoy,즐기다,[enjoy]
chance,"기회, 가능성",[chance]
red,red,[red]
cup,cup,[cup]
hair,hair,[hair]
matter,"물질, 문제 중요하다",[matter]
party,"파티, 정당",[party]
piece,조각,[piece]
sport,sport,[sport]
class,"수업, 학급",[class]
pretty,"예뿐, 매우",[pretty]
forget,잊다,[forget]
hundred,백(100),[hundred]
line,"선, 줄",[line]
land,착륙하다,[land]
catch,잡다,[catch]
kill,죽이다,[kill]
cover,"다루다, 보도하다, 취재하다",[cover]
morning,아침,[morning]
poor,"가난한, 어설픈",[poor]
step,"걸음, 단계",[step]
list,list,[list]
girl,소녀,[girl]
lie,"눕다, 거짓말하다 거짓말 에 있다, 존재하",[lie]
rise,오르다,[rise]
song,song,[song]
laugh,"웃다, 비웃다",[laugh]
film,film,[film]
late,늦은,[late]
visit,방문하다,[비지트]
throw,던지다,[throw]
act,행동하다,[act]
wonder,"궁금해하다 놀라움, 경이",[wonder]
hot,"뜨거운, 매운",[hot]
picture,picture,[picture]
hit,hit,[hit]
cut,자르다,[cut]
south,south,[south]
letter,편지,[레터]
door,문,[door]
pick,"줍다, 고르다",[pick]
paper,종이,[페이퍼]
present,"다, 제공하다 존재하는,",[present]
drive,"진력, 동인(動因), 욕구,",[drive]
nice,nice,[nice]
foot,발,[foot]
drink,drink,[drink]
store,"상점, 가게 저장하다, 비축하다",[스토어]
please,만족시키다,[please]
travel,"여행하다, 이동하다",[travel]
town,"마을, 도시",[town]
summer,summer,[summer]
sleep,sleep,[sleep]
road,road,[road]
drop,"방울, 떨어뜨리다",[drop]
table,table,[table]
green,green,[green]
fire,"불, 해고하다",[파이어]
police,경찰,[police]
video,video,[video]
ready,준비 된,[ready]
sea,sea,[sea]
bank,"은행, 둑, 제방",[bank]
fast,빠른,[fast]
practice,"연습하다 연습, 관행",[프랙티스]
sorry,sorry,[sorry]
star,"별, 스타",[star]
rest,"쉬다, 나머지",[rest]
window,window,[window]
draw,"그리다, 당기다",[draw]
coffee,coffee,[coffee]
rich,부유한,[rich]
fly,"날다, 파리",[fly]
safe,"안전한, 금고",[safe]
deep,깊은,[deep]
cold,"추운, 감기",[cold]
camera,camera,[camera]
room,방,[room]
afraid,"두려운, 유감의",[afraid]
bed,bed,[bed]
shop,"매장, 상점",[shop]
field,"들판, 분야",[field]
sign,"흔적, 표시, 징후 서명하다, 신호하다",[sign]
among,사이에,[among]
sing,sing,[sing]
mouth,mouth,[mouth]
size,size,[size]
miss,"놓치다, 지나치다, 그리워하다, 아쉬워하다",[miss]
floor,"층, 바닥",[floor]
welcome,환영하다,[welcome]
stick,"막대기 붙다, 붙이다, 지키다, 고수하다",[stick]
famous,유명한,[famous]
restaurant,식당,[레스토랑]
middle,중간의,[middle]
sister,"자매, 여동생, 누나",[sister]
pull,pull,[pull]
push,push,[push]
leg,leg,[leg]
dream,dream,[dream]
glass,유리,[glass]
date,날짜,[date]
arrive,도착하다,[arrive]
north,north,[north]
fill,채우다,[fill]
note,"기록, 음표, 주목",[note]
card,card,[card]
finish,끝마치다,[finish]
ice,ice,[ice]
dark,어두운,[dark]
smile,smile,[smile]
bag,bag,[bag]
cook,요리하다,[cook]
exercise,운동하다,[exercise]
boy,소년,[boy]
introduce,"소개하다, 도입하다",[introduce]
near,near,[near]
earth,"지구, 흙",[어스]
blue,blue,[blue]
fish,fish,[fish]
oil,oil,[oil]
shape,"모양, 형태 형성하다, 모양으로 만들다",[shape]
box,box,[box]
sugar,sugar,[sugar]
season,season,[season]
sun,"태양, 해",[sun]
surprise,놀라게 하다,[surprise]
park,"공원, 주차하다",[파크]
front,"앞, 전면",[front]
quick,빠른,[quick]
gas,gas,[gas]
train,"기차, 열차",[train]
key,"열쇠, 핵심",[key]
dead,죽은,[dead]
hide,숨기다,[hide]
farm,farm,[farm]
kitchen,kitchen,[kitchen]
west,west,[west]
cry,cry,[cry]
clean,청소하다,[clean]
dress,dress,[dress]
touch,"만지다, 감동시키다",[touch]
strange,"이상한, 낯선",[strange]
marry,결혼하다,[marry]
finger,finger,[finger]
station,"역, 정거장, 위치 배치하다",[station]
hello,hello,[hello]
fair,공정한,[fair]
danger,위험,[danger]
shall,shall,[shall]
tall,tall,[tall]
island,섬,[아일랜드]
cat,cat,[cat]
roll,구르다,[roll]
waste,"쓰레기, 낭비 낭비하다, 허비하다",[waste]
chicken,chicken,[chicken]
television,television,[television]
taste,맛이 나다,[taste]
egg,egg,[egg]
sweet,달콤한,[sweet]
fix,"고치다, 고정시키다, (날짜, 시간 등을) 정하다",[fix]
salt,salt,[salt]
band,band,[band]
board,"판, 판자, (관청의) 국, 부 타다, 승선하다 게시판",[board]
warm,따뜻한,[warm]
hurt,상처를 주다(받다),[hurt]
wide,넓은,[wide]
club,club,[club]
count,"셈하다, 중요하다",[count]
shoe,shoe,[shoe]
weather,"날씨, 기후",[weather]
ride,"타다, 주행하다",[ride]
heavy,무거운,[heavy]
angry,화난,[angry]
meat,meat,[meat]
speed,speed,[speed]
fresh,신선한,[fresh]
wood,"나무, 목재",[wood]
burn,"타다, 태우다",[burn]
tea,tea,[tea]
jump,jump,[jump]
cool,"시원한, 식히다",[cool]
hospital,병원,[hospital]
horse,horse,[horse]
hole,"구멍, 구덩이",[hole]
brother,"형제, 남동생, 오빠",[brother]
hate,미워하다,[hate]
dance,dance,[dance]
daughter,딸,[daughter]
vegetable,채소,[vegetable]
rain,비,[rain]
quiet,"조용한, 고요한",[quiet]
usual,"일반적인, 평상시의",[usual]
cheap,값싼,[cheap]
pair,"쌍, 짝",[pair]
slow,"느린, 더딘",[slow]
address,"하다, 해결하다, 건네다,",[address]
fruit,fruit,[fruit]
repeat,"반복하다, 되풀이하다",[repeat]
fat,"뚱뚱한, 지방",[fat]
fun,재미,[fun]
Winter,Winter,[Winter]
look forward to,"를 학수고대하다, 기대하다",[룩 포워드 투]
give up,"포기하다, 그만두다",[기브 업]
take care of,"를 돌보다, 처리하다",[테이크 케어 오브]
make sure,"반드시 하다, 확인하다",[메이크 슈어]
in terms of,"의 면에서, 에 관하여",[인 텀즈 오브]
by the way,"그런데, 그나저나",[바이 더 웨이]
as well as,뿐만 아니라,[애즈 웹 애즈]
so far,"지금까지, 여태까지",[쏘 파]
at least,"적어도, 최소한",[애트 리스트]
in fact,"사실은, 실제로는",[인 팩트]
on the other hand,"반면에, 다른 한편으로는",[온 더 어더 핸드]
set up,"설립하다, 준비하다, 세우다",[셋 업]
carry out,"수행하다, 실행하다",[캐리 아웃]
figure out,"알아내다, 이해하다, 계산하다",[피규어 아웃]
find out,"알아내다, 발견하다",[파인드 아웃]
point out,"지적하다, 가리키다",[포인트 아웃]
turn out,"결국 임이 밝혀지다, 드러나다",[턴 아웃]
come up with,"해법을 생각해내다, 제안하다",[컴 업 위드]
run out of,"이 떨어지다, 다 쓰다",[런 아웃 오브]
get rid of,"를 제거하다, 없애다",[겟 리드 오브]
keep in mind,"명심하다, 마음에 두다",[킵 인 마인드]
take advantage of,"를 이용하다, 기회로 삼다",[테이크 어드밴티지 오브]
in spite of,에도 불구하고,[인 스파이트 오브]
according to,"에 따르면, 에 의해서",[어코딩 투]
due to,"때문에, 에 의한",[듀 투]
because of,때문에,[비코즈 오브]
instead of,대신에,[인스테드 오브]
in addition to,"에 더하여, 외에도",[인 어디션 투]
as a result,"결과적으로, 따라서",[애즈 어 리절트]
for example,예를 들어,[포 이그잼플]
for instance,예를 들어,[포 인스턴스]
so as to,하기 위하여,[쏘 애즈 투]
in order to,하기 위하여,[인 오더 투]
as long as,"하는 한, 하기만 하면",[애즈 롱 애즈]
as soon as,하자마자,[애즈 순 애즈]
no matter what,"무슨 일이 있어도, 상관없이",[노 매터 왓]
up to,"까지, 에 달하는",[업 투]
deal with,"를 다루다, 처리하다",[딜 위드]
depend on,"에 의존하다, 에 달려있다",[디펜드 온]
rely on,"에 의존하다, 신뢰하다",[릴라이 온]
focus on,"에 집중하다, 주력하다",[포커스 온]
refer to,"를 지칭하다, 언급하다, 참조하다",[리퍼 투]
apply to,"에 적용되다, 지원하다",[어플라이 투]
lead to,"로 이어지다, 초래하다",[리드 투]
result in,"결과를 낳다, 초래하다",[리절트 인]
result from,로부터 비롯되다,[리절트 프롬]
consist of,로 구성되다,[컨시스트 오브]
participate in,"에 참여하다, 참가하다",[파티시페이트 인]
take part in,"에 참여하다, 관여하다",[테이크 파트 인]
pay attention to,"에 주의를 기울이다, 경청하다",[페이 어텐션 투]
put off,"연기하다, 미루다",[풋 오프]
call off,"취소하다, 철회하다",[콜 오프]
break down,"고장나다, 분해하다, 무너지다",[브레이크 다운]
bring about,"야기하다, 일으키다",[브링 어바웃]
bring up,"양육하다, 화제를 꺼내다",[브링 업]
pass away,"사망하다, 돌아가시다",[패스 어웨이]
give in,"굴복하다, 항복하다, 제출하다",[기브 인]
hand in,제출하다,[핸드 인]
turn in,"제출하다, 잠자리에 들다",[턴 인]
show up,"나타나다, 참석하다",[쇼 업]
turn up,"나타나다, 소리를 올리다",[턴 업]
turn down,"거절하다, 소리를 줄이다",[턴 다운]
look into,"조사하다, 들여다보다",[룩 인투]
look up,"사전을 찾아보다, 올려다보다",[룩 업]
look down on,"경멸하다, 깔보다",[룩 다운 온]
look up to,"존경하다, 우러러보다",[룩 업 투]
take over,"인수하다, 인수하여 맡다",[테이크 오버]
take place,"개최되다, 일어난",[테이크 플레이스]
take effect,"효력을 발휘하다, 시행되다",[테이크 이펙트]
keep up with,"를 따라잡다, 보조를 맞추다",[킵 업 위드]
catch up with,"를 따라잡다, 만나서 대화하다",[캐치 업 위드]
get along with,와 잘 지내다,[겟 어롱 위드]
come across,"우연히 마주치다, 발견하다",[컴 어크로스]
run into,"우연히 마주치다, 부딪히다",[런 인투]
bump into,"우연히 부딪히다, 만나다",[범프 인투]
stand for,"를 상징하다, 의미하다",[스탠드 포]
stand out,"두각을 나타내다, 눈에 띄다",[스탠드 아웃]
make progress,"진전을 이루다, 발전하다",[메이크 프로그레스]
make sense,"이해가 되다, 도리에 맞다",[메이크 센스]
make use of,"를 활용하다, 이용하다",[메이크 유즈 오브]
take care,"몸조심하다, 잘 가",[테이크 케어]
take action,"조치를 취하다, 행동에 나서다",[테이크 액션]
take measures,대책을 세우다,[테이크 메저스]
keep track of,"를 추적하다, 기록하다",[킵 트랙 오브]
lose track of,"를 놓치다, 잊어버리다",[루즈 트랙 오브]
bear in mind,"명심하다, 기억해 두다",[베어 인 마인드]
in advance,"미리, 사전에",[인 어드밴스]
at first,처음에는,[애트 퍼스트]
at last,"마침내, 드디어",[애트 라스트]
at most,"기껏해야, 많아야",[애트 모스트]
at once,"즉시, 동시에",[애트 원스]
all of a sudden,"갑자기, 난데없이",[올 오브 어 서든]
out of the blue,"갑자기, 느닷없이",[아웃 오브 더 블루]
from time to time,"때때로, 가끔",[프롬 타임 투 타임]
once in a while,"가끔, 때때로",[원스 인 어 와일]
every now and then,"때때로, 간혹",[에브리 나우 앤 덴]
sooner or later,"조만간, 머지않아",[수너 오어 레이터]
more or less,"다소, 대략",[모어 오어 레스]
ups and downs,"우여곡절, 기복",[업스 앤 다운스]
pros and cons,"찬반 양론, 장단점",[프로스 앤 콘스]
dinner,dinner,[dinner]
soft,부드러운,[soft]
stone,"돌, 석재",[stone]
smell,냄새가 나다,[smell]
sky,하늘,[sky]
lunch,lunch,[lunch]
east,east,[east]
garden,garden,[garden]
tooth,tooth,[tooth]
beautiful,beautiful,[beautiful]
bright,밝은,[bright]
bird,새,[버드]
bottle,병,[bottle]
wind,바람,[wind]
wall,벽,[wall]
smoke,연기,[smoke]
copy,copy,[copy]
bear,"견디다, 참다, 지탱하다, 낳다, 출산하다",[bear]
busy,바쁜,[busy]
sad,슬픈,[sad]
twice,"두 번, 두 배",[twice]
bus,버스,[bus]
nose,nose,[nose]
dry,"마른, 건조한",[dry]
pool,웅덩이,[pool]
seat,앉히다,[seat]
sick,아픈,[sick]
dish,"접시, 요리",[dish]
paint,paint,[paint]
noise,소음,[noise]
ship,ship,[ship]
holiday,휴일,[holiday]
trip,"여행, 출장",[트립]
strike,"두드리다, 치다, 때리다 파업, 공격",[strike]
library,"도서관, 서재",[library]
moon,달,[moon]
mountain,mountain,[mountain]
chair,chair,[chair]
lady,lady,[lady]
pocket,pocket,[pocket]
cross,교차하다,[cross]
thin,"마른, 가는",[thin]
snow,눈,[snow]
straight,"쭉, 일직선으로, 똑바로 곧은, 똑바른",[straight]
peace,평화,[peace]
kick,kick,[kick]
leaf,나뭇잎,[leaf]
milk,milk,[milk]
round,둥근,[round]
spring,"봄, 샘물, 튀다",[spring]
desk,desk,[desk]
wake,깨어나다,[wake]
luck,"운, 행운",[luck]
handle,다루다,[handle]
plane,"비행기, 평면 평평한",[plane]
gold,gold,[gold]
Hi,Hi,[Hi]
birthday,birthday,[birthday]
thick,두꺼운,[thick]
ear,ear,[ear]
empty,"텅 빈, 비우다",[empty]
weak,약한,[weak]
clock,clock,[clock]
dad,dad,[dad]
swim,swim,[swim]
print,print,[print]
below,below,[below]
telephone,telephone,[telephone]
beach,beach,[beach]
apple,사과,[apple]
cake,cake,[cake]
score,"점수, 득점하다",[score]
cream,cream,[cream]
King,King,[King]
circle,원,[circle]
village,마을,[village]
shoulder,shoulder,[shoulder]
shout,"소리치다, 외치다 고함, 큰 소리",[shout]
hat,hat,[hat]
bread,bread,[bread]
flower,flower,[flower]
pilot,pilot,[pilot]
river,river,[river]
post,"게시하다, 발송하다 우편, 우체통",[post]
brown,brown,[brown]
switch,"바꾸다, 전환하다",[switch]
sheet,(종이 등의) 장,[sheet]
potato,potato,[potato]
ticket,ticket,[ticket]
knock,knock,[knock]
wash,닦다,[wash]
cheese,cheese,[cheese]
neck,neck,[neck]
map,지도,[map]
glad,glad,[glad]
hall,hall,[hall]
toy,"장난감, 장난치다",[toy]
ill,아픈,[ill]
excellent,"훌륭한, 우수한",[excellent]
cloud,구름,[cloud]
tomato,tomato,[tomato]
breakfast,breakfast,[breakfast]
stupid,멍청한,[stupid]
square,사각형,[square]
grandmother,grandmother,[grandmother]
button,button,[button]
dirty,더러운,[dirty]
say,말하다,[say]
well,"잘, 글쎄",[well]
just,"단지, 방금",[just]
minute,"(시간의) 분 미세한, 세심한 순간, 잠깐",[미니트]
sound,"소리, 들리다",[사운드]
top,top,[top]
fine,"좋은, 멋진, 미세한, 섬세한, 벌금",[fine]
arm,"팔, 무기, 무장하다",[arm]
rock,"바위, 흔들다",[rock]
shoot,쏘다,[shoot]
blow,"불다, 타격하다",[blow]
son,아들,[son]
church,church,[church]
ball,ball,[ball]
corner,corner,[corner]
hungry,배고픈,[hungry]
tire,tire,[tire]
hotel,호텔,[hotel]
capital,"수도, 자본금",[capital]
lip,lip,[lip]
god,신,[god]
knee,무릎,[knee]
shut,"(문을) 닫다, (눈을) 감다 닫힌, 감긴, 잠긴",[shut]
mirror,거울,[mirror]
nurse,간호사,[nurse]
dear,dear,[dear]
tape,tape,[tape]
loud,"큰, 시끄러운",[loud]
soup,soup,[soup]
gate,"문, 입구",[gate]
robot,robot,[robot]
tie,"매다, 묶다, 비기다 넥타이, 유대 관계",[tie]
queen,queen,[queen]
coat,coat,[coat]
afternoon,오후,[afternoon]
yellow,yellow,[yellow]
lake,호수,[lake]
tomorrow,내일,[tomorrow]
tennis,tennis,[tennis]
shirt,shirt,[shirt]
juice,juice,[juice]
bowl,그릇,[bowl]
excuse,"변명, 용서",[excuse]
slide,"미끄럼틀, 산사태 미끄러지다, 내려가다",[slide]
climb,"오르다, 등산하다",[climb]
bell,bell,[bell]
coin,동전,[coin]
cap,cap,[cap]
yesterday,어제,[yesterday]
supermarket,supermarket,[supermarket]
rice,rice,[rice]
sir,sir,[sir]
sand,모래,[sand]
hill,hill,[hill]
knife,knife,[knife]
wet,젖은,[wet]
ceiling,천장,[ceiling]
pig,pig,[pig]
guitar,guitar,[guitar]
narrow,"좁은, 편협한 좁히다, 한정하다",[narrow]
bicycle,bicycle,[bicycle]
lion,lion,[lion]
flag,깃발,[flag]
monkey,monkey,[monkey]
silver,silver,[silver]
cousin,cousin,[cousin]
color,color,[color]
okay,okay,[okay]
Mr,Mr,[Mr]
Mrs,Mrs,[Mrs]
bye,bye,[bye]
basket,basket,[basket]
swing,"흔들다, 그네",[swing]
dollar,dollar,[dollar]
spell,"철자를 맞게 쓰다 주문, 마법",[spell]
truck,truck,[truck]
dictionary,사전,[dictionary]
shower,shower,[shower]
brush,brush,[brush]
zero,zero,[zero]
cow,cow,[cow]
orange,orange,[orange]
engine,엔진,[engine]
balloon,풍선,[balloon]
tonight,tonight,[tonight]
bridge,"다리, 연결하다",[bridge]
airport,공항,[airport]
camp,camp,[camp]
apartment,아파트,[apartment]
banana,바나나,[banana]
pen,pen,[pen]
drum,drum,[drum]
bench,bench,[bench]
hurry,서두르다,[hurry]
roof,roof,[roof]
storm,"폭풍, 폭풍우",[storm]
butter,butter,[butter]
mail,mail,[mail]
wing,날개,[wing]
boat,boat,[boat]
curtain,curtain,[curtain]
mad,미친,[mad]
salad,salad,[salad]
sheep,sheep,[sheep]
soap,soap,[soap]
sock,sock,[sock]
pink,pink,[pink]
stair,계단,[stair]
grass,grass,[grass]
vacation,"방학, 휴가",[베이케이션]
album,앨범,[album]
excite,흥분시키다,[excite]
gray,"화색, 회색의",[gray]
candy,candy,[candy]
fool,"바보, 속이다",[fool]
rocket,rocket,[rocket]
steam,증기,[steam]
stamp,stamp,[stamp]
glove,glove,[glove]
taxi,taxi,[taxi]
gentle,정중한,[gentle]
pipe,pipe,[pipe]
march,행진하다,[march]
fork,fork,[fork]
autumn,가을,[autumn]
spoon,spoon,[spoon]
beside,beside,[beside]
till,till,[till]
Aunt,"고모, 이모, 숙모",[Aunt]
pin,pin,[pin]
piano,piano,[piano]
captain,"선장, 주장",[captain]
uncle,uncle,[uncle]
bath,목욕하다,[bath]
pencil,pencil,[pencil]
skirt,skirt,[skirt]
lamp,lamp,[lamp]
diary,일기,[diary]
sweater,sweater,[sweater]
clothe,clothe,[clothe]
center,center,[center]
pine,pine,[pine]
grind,grind,[grind]
candle,"초, 양초",[candle]
ruler,"통치자, 지배자",[ruler]
mom,mom,[mom]
pants,pants,[pants]
umbrella,umbrella,[umbrella]
thirsty,목마른,[thirsty]
soccer,soccer,[soccer]
temple,"사찰, 절, 사원",[temple]
poster,poster,[poster]
dolphin,dolphin,[dolphin]
tiger,tiger,[tiger]
zoo,동물원,[zoo]
skate,skate,[skate]
doll,인형,[doll]
grape,grape,[grape]
calendar,calendar,[calendar]
ink,ink,[ink]
medal,medal,[medal]
jungle,jungle,[jungle]
meter,meter,[meter]
cassette,cassette,[cassette]
rainbow,무지개,[rainbow]
strawberry,strawberry,[strawberry]
dial,dial,[dial]
hamburger,hamburger,[hamburger]
duck,duck,[duck]
supper,supper,[supper]
ribbon,ribbon,[ribbon]
chalk,분필,[chalk]
hen,hen,[hen]
picnic,picnic,[picnic]
stave,stave,[stave]
subway,지하철,[subway]
violin,violin,[violin]
pardon,"용서, 용서하다",[pardon]
classmate,classmate,[classmate]
pear,pear,[pear]
melon,melon,[melon]
crayon,crayon,[crayon]
hiking,hiking,[hiking]
hose,hose,[hose]
tulip,tulip,[tulip]
ring,울리다,[ring]
chopstick,chopstick,[chopstick]
eraser,eraser,[eraser]
an,an,[an]
one,하나,[one]
them,그들을,[them]
me,나를,[me]
first,첫 번째의,[first]
also,또한,[also]
something,무언가,[something]
mean,의미하다,[mean]
two,둘,[two]
life,"삶, 생명",[라이프]
really,정말로,[really]
programme,programme,[programme]
would,일 것이다,[would]
another,또 다른,[another]
own,자신의,[own]
still,여전히,[still]
different,다른,[different]
seem,처럼 보이다,[seem]
more,더 많은,[more]
part,부분,[파트]
company,회사,[company]
most,가장 많은,[most]
such,그러한,[such]
without,없이,[without]
important,중요한,[important]
later,나중에,[later]
believe,믿다,[believe]
while,하는 동안,[while]
social,사회적인,[social]
each,각각의,[each]
three,셋,[three]
person,사람,[퍼슨]
someone,누군가,[someone]
actually,실제로,[actually]
system,"체계, 시스템",[system]
business,"비즈니스, 사업",[business]
human,인간,[human]
health,건강,[health]
though,비록 일지라도,[though]
maybe,아마도,[maybe]
create,창조하다,[create]
reason,이유,[reason]
state,"상태, 국가",[스테이트]
government,정부,[government]
whether,인지 아닌지,[whether]
information,정보,[인포메이션]
experience,경험,[experience]
issue,"문제, 주제",[issue]
ever,여태까지,[ever]
area,지역,[area]
power,"힘, 권력",[power]
six,"여섯, 6",[six]
explain,설명하다,[explain]
research,연구,[research]
during,동안,[during]
able,할 수 있는,[able]
both,둘 다,[both]
